period,revenue_cr,ebitda_cr,pat_cr,total_debt_cr,net_worth_cr,aum_cr,disbursement_cr,collection_cr,gnpa_pct,nnpa_pct,collection_efficiency_pct,dscr,debt_to_equity,interest_coverage,capital_adequacy_pct,roa_pct,roe_pct
Q1 FY24,310.0,60.0,32.0,520.0,240.0,850.0,190.0,165.0,2.40,1.25,93.5,1.31,2.17,2.45,16.8,1.51,13.3
Q2 FY24,325.0,63.0,34.0,540.0,250.0,890.0,200.0,175.0,2.35,1.20,94.0,1.33,2.16,2.50,17.0,1.53,13.6
Q3 FY24,340.0,66.0,36.0,560.0,260.0,940.0,215.0,185.0,2.25,1.15,94.5,1.35,2.15,2.55,17.2,1.53,13.8
Q4 FY24,355.0,69.0,38.0,580.0,272.0,990.0,230.0,195.0,2.18,1.10,95.0,1.37,2.13,2.60,17.5,1.54,14.0
Q1 FY25,370.0,72.0,40.0,600.0,285.0,1050.0,245.0,205.0,2.10,1.05,95.2,1.38,2.11,2.65,17.8,1.52,14.0
Q2 FY25,385.0,75.0,42.0,620.0,295.0,1100.0,255.0,215.0,2.05,1.00,95.6,1.39,2.10,2.70,18.0,1.53,14.2
Q3 FY25,400.0,78.0,44.0,640.0,305.0,1150.0,265.0,225.0,2.00,0.98,95.8,1.40,2.10,2.75,18.2,1.53,14.4
Q4 FY25,412.0,80.0,46.0,660.0,315.0,1200.0,275.0,232.0,1.90,0.95,96.0,1.41,2.09,2.78,18.4,1.53,14.6
Q1 FY26,425.0,82.0,48.0,680.0,325.0,1250.0,285.0,240.0,1.80,0.92,96.4,1.42,2.10,2.80,18.6,2.35,15.2
Q2 FY26,440.0,86.0,51.0,705.0,338.0,1310.0,300.0,252.0,1.75,0.88,96.8,1.44,2.09,2.85,18.9,2.38,15.4
